code_fa,food_additive
FA0030,5'-리보뉴클레오티드이나트륨
FA0300,D-말티톨
FA0310,D-소비톨
FA0370,L-글루탐산나트륨
FA0430,L-메티오닌
FA0500,L-아스코브산나트륨
FA0580,L-젖산마그네슘
FA0590,L-주석산
FA0610,L-주석산수소칼륨
FA0950,결정셀룰로스
FA1060,구아검
FA1090,구연산삼나트륨
FA1360,글리세로인산칼륨
FA1370,글리세로인산칼슘
FA1380,글리세린
FA1400,글리신
FA1450,나타마이신
FA1540,니코틴산아미드
FA1590,데히드로초산나트륨
FA1670,디부틸히드록시톨루엔
FA1770,로진
FA1840,만니톨
FA1880,말티톨시럽
FA1900,메타인산나트륨
FA1910,메타인산칼륨
FA2110,바닐린
FA2190,변성전분
FA2230,부틸히드록시아니솔
FA2250,분말셀룰로스
FA2490,산성아황산나트륨
FA2500,산성알루미늄인산나트륨
FA2510,산성피로인산나트륨
FA2630,소르비탄지방산에스테르
FA2760,수크랄로스
FA2770,쉘락
FA2790,스테비올배당체
FA2930,식용색소녹색제3호
FA2950,식용색소적색제102호
FA2960,식용색소적색제2호
FA2980,식용색소적색제3호
FA2990,식용색소적색제40호
FA3010,식용색소청색제1호
FA3030,식용색소청색제2호
FA3050,식용색소황색제4호
FA3070,식용색소황색제5호
FA3100,심황색소
FA3150,아라비아검
FA3160,아미드펙틴
FA3180,아세설팜칼륨
FA3240,아스파탐
FA3260,아질산나트륨
FA3280,안나토색소
FA3290,안식향산
FA3350,알긴산나트륨
FA3450,에리스리톨
FA3490,에틸바닐린
FA3520,염기성알루미늄인산나트륨
FA3570,염화암모늄
FA3920,이소말트
FA4000,인산
FA4010,인산철
FA4030,자당지방산에스테르
FA4060,자일리톨
FA4100,잔탄검
FA4140,젖산
FA4180,젖산칼슘
FA4190,제삼인산나트륨
FA4200,제삼인산마그네슘
FA4210,제삼인산칼륨
FA4220,제삼인산칼슘
FA4230,제이인산나트륨
FA4240,제이인산마그네슘
FA4250,제이인산암모늄
FA4260,제이인산칼륨
FA4270,제이인산칼슘
FA4280,제일인산나트륨
FA4290,제일인산암모늄
FA4300,제일인산칼륨
FA4310,제일인산칼슘
FA4330,젤란검
FA4430,차아염소산나트륨
FA4630,초산에틸
FA4700,카나우바왁스
FA4710,카라기난
FA4720,카라멜색소
FA4740,카로틴
FA4760,카복시메틸셀룰로스나트륨
FA4850,카페인
FA4920,코치닐추출색소
FA5010,타우린
FA5040,탄산나트륨
FA5070,탄산수소암모늄
FA5090,탄산암모늄
FA5100,탄산칼륨
FA5110,탄산칼슘
FA5130,터셔리부틸히드로퀴논
FA5160,토마틴
FA5190,트랜스글루타미나아제
FA5290,판토텐산칼슘
FA5400,펙틴
FA5480,폴리글리시톨시럽
FA5490,폴리덱스트로스
FA5550,폴리소르베이트 60
FA5570,폴리소르베이트 80
FA5610,폴리인산나트륨
FA5620,폴리인산칼륨
FA5750,프로필렌글리콜
FA5770,피로인산나트륨
FA5780,피로인산제이철
FA5790,피로인산철나트륨
FA5800,피로인산칼륨
FA6080,황산알루미늄칼륨
FA6100,황산제일철
FA6180,효소처리스테비아
FA6230,히드록시프로필메틸셀룰로스
